DB 0 MOTIF	1	MEME
-135.5	0
-134.5	0
-133.5	3
-132.5	1
-131.5	1
-130.5	0
-129.5	0
-128.5	1
-127.5	0
-126.5	2
-125.5	0
-124.5	0
-123.5	1
-122.5	0
-121.5	0
-120.5	1
-119.5	1
-118.5	1
-117.5	0
-116.5	4
-115.5	1
-114.5	2
-113.5	2
-112.5	1
-111.5	1
-110.5	1
-109.5	0
-108.5	4
-107.5	3
-106.5	1
-105.5	0
-104.5	0
-103.5	0
-102.5	0
-101.5	1
-100.5	0
 -99.5	0
 -98.5	0
 -97.5	1
 -96.5	0
 -95.5	1
 -94.5	1
 -93.5	0
 -92.5	1
 -91.5	1
 -90.5	1
 -89.5	1
 -88.5	0
 -87.5	2
 -86.5	3
 -85.5	2
 -84.5	0
 -83.5	2
 -82.5	1
 -81.5	0
 -80.5	0
 -79.5	1
 -78.5	2
 -77.5	2
 -76.5	2
 -75.5	1
 -74.5	3
 -73.5	0
 -72.5	2
 -71.5	3
 -70.5	2
 -69.5	1
 -68.5	2
 -67.5	1
 -66.5	1
 -65.5	1
 -64.5	0
 -63.5	1
 -62.5	1
 -61.5	2
 -60.5	2
 -59.5	0
 -58.5	1
 -57.5	3
 -56.5	5
 -55.5	3
 -54.5	4
 -53.5	0
 -52.5	4
 -51.5	2
 -50.5	8
 -49.5	1
 -48.5	6
 -47.5	2
 -46.5	2
 -45.5	3
 -44.5	3
 -43.5	3.5
 -42.5	10
 -41.5	2
 -40.5	5
 -39.5	7
 -38.5	4
 -37.5	10
 -36.5	4
 -35.5	4
 -34.5	12
 -33.5	11
 -32.5	10
 -31.5	8
 -30.5	4
 -29.5	9
 -28.5	14
 -27.5	9
 -26.5	8
 -25.5	8
 -24.5	9
 -23.5	11
 -22.5	12
 -21.5	7
 -20.5	12
 -19.5	6
 -18.5	7
 -17.5	9
 -16.5	7
 -15.5	6
 -14.5	9
 -13.5	13
 -12.5	15
 -11.5	8
 -10.5	14
  -9.5	8
  -8.5	12
  -7.5	11
  -6.5	10
  -5.5	12
  -4.5	6
  -3.5	13
  -2.5	7
  -1.5	13
  -0.5	6
   0.5	7
   1.5	10
   2.5	17
   3.5	11
   4.5	9
   5.5	14
   6.5	9
   7.5	11
   8.5	14
   9.5	11
  10.5	11
  11.5	8
  12.5	13
  13.5	7
  14.5	10
  15.5	14
  16.5	10
  17.5	11
  18.5	8
  19.5	12
  20.5	10
  21.5	7
  22.5	8
  23.5	9
  24.5	8
  25.5	12
  26.5	10
  27.5	14
  28.5	3
  29.5	3
  30.5	10
  31.5	5
  32.5	6
  33.5	6
  34.5	3
  35.5	8
  36.5	6
  37.5	4
  38.5	7
  39.5	7
  40.5	5
  41.5	6
  42.5	2
  43.5	4
  44.5	2
  45.5	4
  46.5	3
  47.5	2
  48.5	5
  49.5	8
  50.5	2
  51.5	3
  52.5	4
  53.5	6
  54.5	3
  55.5	4
  56.5	4
  57.5	0
  58.5	2
  59.5	3
  60.5	4
  61.5	0
  62.5	0
  63.5	1
  64.5	1
  65.5	1
  66.5	3
  67.5	3
  68.5	3
  69.5	2
  70.5	4
  71.5	1
  72.5	1
  73.5	2
  74.5	0
  75.5	1
  76.5	0
  77.5	2
  78.5	0
  79.5	0
  80.5	2
  81.5	2
  82.5	1
  83.5	1
  84.5	1
  85.5	1
  86.5	0
  87.5	2
  88.5	2
  89.5	3
  90.5	0
  91.5	0
  92.5	1
  93.5	1
  94.5	0
  95.5	1
  96.5	0
  97.5	1
  98.5	2
  99.5	0
 100.5	0
 101.5	0
 102.5	1
 103.5	1
 104.5	0
 105.5	2
 106.5	1
 107.5	2
 108.5	3
 109.5	2.5
 110.5	1
 111.5	0
 112.5	2
 113.5	2
 114.5	1
 115.5	1
 116.5	0
 117.5	2
 118.5	0
 119.5	2
 120.5	0
 121.5	2
 122.5	4
 123.5	0
 124.5	2
 125.5	0
 126.5	0
 127.5	0
 128.5	2
 129.5	1
 130.5	2
 131.5	0
 132.5	2
 133.5	1
 134.5	0
 135.5	0
DB 0 MOTIF	2	MEME
-140.0	6
-139.0	8
-138.0	3
-137.0	6
-136.0	4
-135.0	6
-134.0	12
-133.0	2
-132.0	8
-131.0	11
-130.0	6
-129.0	8
-128.0	9
-127.0	13
-126.0	9
-125.0	4
-124.0	9
-123.0	6
-122.0	10.5
-121.0	11
